id,Code,Name,Description,Unit,Brand,Sub_Group,Item_Group
77,LCCC13313,"BELT A-31",,Nos,OEM,,BELT
78,LCCC13314,"BELT A-32",,Nos,OEM,,BELT
79,LCCE26493,"CG 15 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE1",,Nos,CG,,MOTOR
80,LCCE26521,"CG 0.25 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE1",,Nos,CG,,MOTOR
81,LAHC14305,"ALUMINIUM FILTER FRAME 305 X 305 MM",,Nos,OEM,"FILTER FRAME",FILTER
82,LCCE26496,"CG 30 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE1",,Nos,CG,,MOTOR
83,LCCE26976,"BHARATH BIJILEE 30 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE3",,Nos,"BHARATH BIJILEE",,MOTOR
84,LCCH30008,"HEX HEAD BOLT GI M12 x 40",,Nos,OEM,,FASTENERS
85,LCCE26634,"CG 18.5 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 6 POLE FOOT MOUNTED-IE3",,Nos,CG,,MOTOR
86,LCCH30009,"HEX HEAD BOLT GI M6 x 50",,Nos,OEM,,FASTENERS
87,LCCC13315,"BELT A-33",,Nos,OEM,,BELT
88,LCCC13316,"BELT A-34",,Nos,OEM,,BELT
89,LCCC13317,"BELT A-35",,Nos,OEM,,BELT
90,LAHC14306,"PRE FILTER EU3 GRADE - 595 MM (W) x 595 MM (H) x 48MM (D)",,Nos,OEM,"PRE FILTER",FILTER
91,LCCC13318,"BELT A-36",,Nos,OEM,,BELT
92,LCCR07511,"GI sheet 1.2mm THK 180 GSM",1.2,Kgs,OEM,,"G.I / COATED SHEETS"
93,LCCC12707,"112x 2A",,Nos,OEM,PULLEY,PULLEYS/BEARINGS
94,LCCE26875,"BHARATH BIJILEE 22 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 6 POLE FOOT MOUNTED-IE1",,Nos,"BHARATH BIJILEE",,MOTOR
95,LCCC13319,"BELT A-37",,Nos,OEM,,BELT
96,LCCE26757,"SIEMENS 37 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 6 POLE FOOT MOUNTED-IE2",,Nos,SIEMENS,,MOTOR
97,LCCE26398,"ABB 45 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 6 POLE FOOT MOUNTED-IE2",,Nos,ABB,,MOTOR
98,LAHC11012,"KAT 18/18 S KRUGER MAKE",,Nos,KRUGER,,FAN
99,LCCE26575,"CG 22 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 6 POLE FOOT MOUNTED-IE2",,Nos,CG,,MOTOR
100,LCCE26548,"CG 3.7 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE2",,Nos,CG,,MOTOR
101,LCCC12708,"118x 2A",,Nos,OEM,PULLEY,PULLEYS/BEARINGS
102,LCCE26707,"SIEMENS 2.2 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE1",,Nos,SIEMENS,,MOTOR
103,LCCH30010,"HEX HEAD BOLT GI M8 x 50",,Nos,OEM,,FASTENERS
104,LCCE26644,"CG 0.75 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE3",,Nos,CG,,MOTOR
