id,Code,Name,Description,Unit,Brand,Sub_Group,Item_Group
569,LCCE26500,CG 75 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE1,,Nos,CG,,MOTOR
570,LAHC14351,BAG FILTER EU9 GRADE - 592 MM (W) x 490 MM (H) x 635MM (D),,Nos,OEM,BAG FILTER,FILTER
571,LCCE26906,BHARATH BIJILEE 1.5 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE2,,Nos,BHARATH BIJILEE,,MOTOR
572,LAHC11071,FDA 500 CM KRUGER MAKE,,Nos,KRUGER,,FAN
573,LAHC11072,FDA 560 CM KRUGER MAKE,,Nos,KRUGER,,FAN
574,LCCE26911,BHARATH BIJILEE 9.3 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE2,,Nos,BHARATH BIJILEE,,MOTOR
575,LAHC11073,FDA 630 CM KRUGER MAKE,,Nos,KRUGER,,FAN
576,LCCE26522,CG 0.37 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE1,,Nos,CG,,MOTOR
577,LCCE26410,ABB 7.5 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE2,,Nos,ABB,,MOTOR
578,LCCC13388,BELT A-120,,Nos,OEM,,BELT
579,LCCE26322,ABB 0.37 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 6 POLE FOOT MOUNTED-IE1,,Nos,ABB,,MOTOR
580,LCCC13389,BELT A-124,,Nos,OEM,,BELT
581,LCCM47007,Hole saw cutter 2 inch,,Nos,OEM,,Hand Tools
